EndDt,CPI_YoY,CPIPPI_Dval
1987-01-31,"105.1000",
1987-02-28,"105.4000",
1987-03-31,"105.8000",
1987-04-30,"106.7000",
1987-05-31,"107.6000",
1987-06-30,"107.8000",
1987-07-31,"107.8000",
1987-08-31,"108.2000",
1987-09-30,"107.7000",
1987-10-31,"107.5000",
1987-11-30,"108.3000",
1987-12-31,"108.9000",
1988-01-31,"109.4000",
1988-02-29,"110.4000",
1988-03-31,"111.3000",
1988-04-30,"112.2000",
1988-05-31,"114.2000",
1988-06-30,"116.3000",
1988-07-31,"119.2000",
1988-08-31,"123.6000",
1988-09-30,"126.4000",
1988-10-31,"127.1000",
1988-11-30,"126.8000",
1988-12-31,"127.9000",
1989-01-31,"127.4000",
1989-02-28,"128.4000",
1989-03-31,"127.1000",
1989-04-30,"126.6000",
1989-05-31,"124.8000",
1989-06-30,"122.8000",
1989-07-31,"119.4000",
1989-08-31,"115.3000",
1989-09-30,"111.5000",
1989-10-31,"108.6000",
1989-11-30,"107.4000",
1989-12-31,"106.6000",
1990-01-31,"104.3000",
1990-02-28,"104.4000",
1990-03-31,"103.4000",
1990-04-30,"103.2000",
1990-05-31,"102.7000",
1990-06-30,"101.1000",
1990-07-31,"101.1000",
1990-08-31,"102.5000",
1990-09-30,"102.9000",
1990-10-31,"103.1000",
1990-11-30,"103.7000",
1990-12-31,"104.3000",
1991-01-31,"102.2000",
1991-02-28,"101.8000",
1991-03-31,"101.6000",
1991-04-30,"101.3000",
1991-05-31,"103.6000",
1991-06-30,"104.4000",
1991-07-31,"104.7000",
1991-08-31,"104.9000",
1991-09-30,"104.5000",
1991-10-31,"104.8000",
1991-11-30,"104.4000",
1991-12-31,"104.5000",
1992-01-31,"105.5000",
1992-02-29,"105.3000",
1992-03-31,"105.3000",
1992-04-30,"107.1000",
1992-05-31,"104.7000",
1992-06-30,"104.8000",
1992-07-31,"105.2000",
1992-08-31,"105.8000",
1992-09-30,"107.5000",
1992-10-31,"107.9000",
1992-11-30,"108.2000",
1992-12-31,"108.8000",
1993-01-31,"110.3000","-7.6000"
1993-02-28,"110.8000","-7.4000"
1993-03-31,"112.2000","-9.1000"
1993-04-30,"112.6000","-9.7000"
